0,1,2,3,4,5,6,7
1,1,126,12,1,0.433807,0,1
1,1,127,12,1,0.334198,1,2
1,1,128,12,1,0.082916,2,0
1,1,129,12,1,0.182617,0,1
1,1,130,12,1,0.300293,1,2
1,1,131,12,1,1.766205,2,1
1,1,132,12,1,2.616699,1,1
1,1,133,12,1,1.050903,2,2
1,1,134,12,1,0.98291,1,1
1,1,135,12,1,0.415009,0,1
1,1,136,12,1,1.165497,2,2
1,1,137,12,1,0.418121,1,0
1,1,138,12,1,1.949005,1,1
1,1,139,12,1,0.549011,1,2
1,1,140,12,1,1.467102,1,0
1,1,141,12,1,0.134277,1,1
1,1,142,12,1,0.617889,1,2
1,1,143,12,1,0.316101,0,1
1,1,144,12,1,1.583008,2,1
1,1,145,12,1,0.632324,1,2
1,1,146,12,1,0.416596,0,0
1,1,147,12,1,0.866516,2,1
1,1,148,12,1,1.233398,2,2
1,1,149,12,1,2.233398,1,1
1,1,150,12,1,0.334808,0,1
1,1,151,12,1,1.098694,0,2
1,1,152,12,1,0.6828,2,0
1,1,153,12,1,0.548187,0,1
1,1,154,12,1,0.633789,1,2
1,1,155,12,1,0.182098,1,0
1,1,156,12,1,0.63382,1,1
1,1,157,12,1,0.533386,1,2
1,1,158,12,1,0.965088,2,0
1,1,159,12,1,0.500885,0,1
1,1,160,12,1,1.218475,2,2
1,1,161,12,1,2.016907,1,0
1,1,162,12,1,0.097687,1,1
1,1,163,12,1,0.432221,1,2
1,1,164,12,1,0.532715,1,0
1,1,165,12,1,0.449219,1,1
1,1,166,12,1,0.200012,2,2
1,1,167,12,1,0.200714,0,0
1,1,168,12,1,0.134979,1,1
1,1,169,12,1,0.248322,2,2
1,1,170,12,1,0.249878,0,1
1,1,171,12,1,2.416504,2,1
1,1,172,12,1,0.867401,0,2
1,1,173,12,1,0.584412,0,1
1,1,174,12,1,0.316315,0,1
1,1,175,12,1,0.650116,2,2
1,1,176,12,1,0.750794,0,0
1,1,177,12,1,0.283325,1,1
1,1,178,12,1,0.69989,2,2
1,1,179,12,1,0.182983,0,0
1,1,180,12,1,0.097687,1,1
1,1,181,12,1,0.150208,2,2
1,1,182,12,1,0.117584,0,0
1,1,183,12,1,0.134399,1,1
1,1,184,12,1,0.118591,2,2
1,1,185,12,1,0.065704,0,1
1,1,186,12,1,2.300018,0,1
1,1,187,12,1,4.033295,2,2
1,1,188,12,1,0.915497,0,0
1,1,189,12,1,0.349518,1,1
1,1,190,12,1,1.217499,2,2
1,1,191,12,1,0.383026,1,1
1,1,192,12,1,1.85022,1,1
1,1,193,12,1,0.817596,2,2
1,1,194,12,1,1.000519,1,1
1,1,195,12,1,0.866486,1,1
1,1,196,12,1,1.24942,0,2
1,1,197,12,1,0.701111,2,0
1,1,198,12,1,1.749786,2,1
1,1,199,12,1,0.766693,2,2
1,1,200,12,1,2.484619,2,0
1,1,201,12,1,0.518005,2,1
1,1,202,12,1,0.30011,1,2
1,1,203,12,1,1.049683,1,0
1,1,204,12,1,0.165802,1,1
1,1,205,12,1,0.315796,2,2
1,1,206,12,1,1.549316,0,0
1,1,207,12,1,1.466705,1,1
1,1,208,12,1,1.349213,1,2
1,1,209,12,1,0.582703,2,0
1,1,210,12,1,0.634491,0,1
1,1,211,12,1,39.31616,0,2
1,1,212,12,1,0.184753,2,0
1,1,213,12,1,0.23291,1,1
1,1,214,12,1,0.73169,2,2
1,1,215,12,1,1.116455,0,0
1,1,216,12,1,2.365662,2,1
1,1,217,12,1,0.24939,1,2
1,1,218,12,1,1.39978,1,0
1,1,219,12,1,0.232788,0,1
1,1,220,12,1,19.10199,2,2
1,1,221,12,1,0.899902,1,0
1,1,222,12,1,0.565247,0,1
1,1,223,12,1,0.383667,2,2
1,1,224,12,1,0.583374,0,0
1,1,225,12,1,0.266724,1,1
1,1,226,12,1,0.367004,2,2
1,1,227,12,1,0.450134,0,1
1,1,228,12,1,1.266846,2,1
1,1,229,12,1,0.366577,2,2
1,1,230,12,1,0.183289,0,0
1,1,231,12,1,0.200073,1,1
1,1,232,12,1,3.916931,2,2
1,1,233,12,1,0.30127,0,0
1,1,234,12,1,0.633667,1,1
1,1,235,12,1,0.46582,2,2
1,1,236,12,1,1.200928,0,0
1,1,237,12,1,1.516602,2,1
1,1,238,12,1,0.650818,1,2
1,1,239,12,1,0.183106,0,0
1,1,240,12,1,0.55072,1,1
1,1,241,12,1,0.89978,2,2
1,1,242,12,1,0.232483,1,0
1,1,243,12,1,0.950073,1,1
1,1,244,12,1,0.133728,2,2
1,1,245,12,1,0.901489,0,0
1,1,246,12,1,0.132874,1,1
1,1,247,12,1,1.983521,2,2
1,1,248,12,1,0.183167,0,0
1,1,249,12,1,0.666321,1,1
1,1,250,12,1,0.720764,2,2
1,1,251,12,1,0.216797,0,0
1,1,252,12,1,1.866516,2,1
1,1,253,12,1,0.900391,2,2
1,1,254,12,1,0.200073,0,1
1,1,255,12,1,2.89978,0,1
1,1,256,12,1,1.28363,2,2
1,1,257,12,1,0.26593,0,0
1,1,258,12,1,0.233704,1,1
1,1,259,12,1,0.467102,2,2
1,1,260,12,1,0.117493,0,0
1,1,261,12,1,0.466309,1,1
1,1,262,12,1,0.466065,1,2
1,1,263,12,1,0.433106,0,0
1,1,264,12,1,1.416382,1,1
1,1,265,12,1,0.499146,2,2
1,1,266,12,1,0.268677,0,0
1,1,267,12,1,0.900085,1,1
1,1,268,12,1,1.116821,2,2
1,1,269,12,1,0.150085,0,0
1,1,270,12,1,0.183106,1,1
1,1,271,12,1,0.932373,2,2
1,1,272,12,1,0.216126,0,0
1,1,273,12,1,0.249695,1,1
1,1,274,12,1,0.631714,2,2
1,1,275,12,1,0.182678,0,1
1,1,276,12,1,0.833557,2,1
1,1,277,12,1,1.549805,2,2
1,1,278,12,1,0.199768,0,0
1,1,279,12,1,0.201599,2,1
1,1,280,12,1,2.298767,0,2
1,1,281,12,1,0.383301,0,0
1,1,282,12,1,0.183228,1,1
1,1,283,12,1,0.18335,1,2
1,1,284,12,1,0.151062,0,0
1,1,285,12,1,0.316223,1,1
1,1,286,12,1,2.05188,2,2
1,1,287,12,1,0.849609,0,1
1,1,288,12,1,1.616089,1,1
1,1,289,12,1,0.533264,2,2
1,1,290,12,1,0.266602,0,0
1,1,291,12,1,0.38324,1,1
1,1,292,12,1,0.967102,2,2
1,1,293,12,1,1.133301,0,0
1,1,294,12,1,0.600159,1,1
1,1,295,12,1,3.700256,1,2
1,1,296,12,1,0.583191,0,0
1,1,297,12,1,0.249878,1,1
1,1,298,12,1,2.384705,2,2
1,1,299,12,1,1.132813,1,1
1,1,300,12,1,0.483704,0,1
1,1,301,12,1,0.768127,2,2
1,1,302,12,1,0.200378,0,0
1,1,303,12,1,0.166687,1,1
1,1,304,12,1,0.816406,2,2
1,1,305,12,1,0.253113,0,0
1,1,306,12,1,0.565857,1,1
1,1,307,12,1,0.632568,2,2
1,1,308,12,1,1.049622,0,1
1,1,309,12,1,5.999329,1,1
1,1,310,12,1,0.50177,2,2
1,1,311,12,1,0.233337,0,0
1,1,312,12,1,0.383789,1,1
1,1,313,12,1,0.21582,2,2
1,1,314,12,1,2.249756,0,0
1,1,315,12,1,0.183716,1,1
1,1,316,12,1,0.150024,2,2
1,1,317,12,1,2.116333,0,0
1,1,318,12,1,0.266235,1,1
1,1,319,12,1,1.015869,2,2
1,1,320,12,1,2.884705,1,1
1,1,321,12,1,0.566406,1,1
1,1,322,12,1,0.432983,2,2
1,1,323,12,1,0.168701,0,1
1,1,324,12,1,1.951538,0,1
1,1,325,12,1,0.499085,0,2
1,1,326,12,1,0.450073,0,1
1,1,327,12,1,0.567139,1,1
1,1,328,12,1,0.382507,0,2
1,1,329,12,1,0.58374,0,0
1,1,330,12,1,0.234009,1,1
1,1,331,12,1,2.000061,1,2
1,1,332,12,1,0.149719,0,1
1,1,333,12,1,2.800476,0,1
1,1,334,12,1,0.411987,1,2
1,1,335,12,1,3.066101,2,0
1,1,336,12,1,0.799927,2,1
1,1,337,12,1,0.933594,2,2
1,1,338,12,1,1.199585,0,1
1,1,339,12,1,2.233643,0,1
1,1,340,12,1,0.715759,0,2
1,1,341,12,1,0.699768,0,0
1,1,342,12,1,0.615479,1,1
1,1,343,12,1,0.083496,2,2
1,1,344,12,1,0.149902,1,1
1,1,345,12,1,2.916809,1,1
1,1,346,12,1,0.566162,2,2
1,1,347,12,1,0.597656,0,0
1,1,348,12,1,0.71814,1,1
1,1,349,12,1,0.165894,2,2
1,1,350,12,1,0.900452,1,0
